주민등록번호,이름,세대주관계,세대원1,세대원1관계,세대원2,세대원2관계,세대원3,세대원3관계
580305-4558635,강민진,본인,윤정윤,배우자,장예영,자녀,임준진,자녀
740122-3435521,임서수,본인,임지호,배우자,,,,
720210-9768856,한준영,본인,오지연,배우자,김도호,자녀,임윤진,자녀
510721-4124857,한지민,본인,윤정연,배우자,,,,
691112-9309926,정태현,본인,,,,,,
670511-2077617,최현빈,본인,,,,,,
670809-5869893,김영우,본인,임현율,배우자,윤정율,자녀,최준호,자녀
640210-4123138,윤예수,본인,조민혁,배우자,박정빈,자녀,윤예수,자녀
811215-0280459,박영윤,본인,,,,,,
970711-2159897,김서현,본인,임민빈,배우자,윤정호,자녀,,
981003-5402942,임하우,본인,박민호,배우자,박하윤,자녀,정정영,자녀
811107-7628733,박준영,본인,오지율,배우자,이정영,자녀,오예율,자녀
911001-0913059,정현빈,본인,,,,,,
781027-3064886,강하현,본인,,,,,,
560725-8874593,임민윤,본인,정준호,배우자,김지호,자녀,이준율,자녀
720612-6193533,이영진,본인,박준호,배우자,,,,
911116-6891429,윤예연,본인,이윤영,배우자,윤도진,자녀,,
980928-8385415,이하영,본인,오정혁,배우자,,,,
641212-7516069,최영수,본인,조예진,배우자,,,,
840718-9596122,한예진,본인,조정진,배우자,윤서빈,자녀,,
740606-8703379,박서진,본인,임민영,배우자,,,,
891205-1079295,김도영,본인,최윤수,배우자,이윤율,자녀,,
681221-4447379,임도아,본인,장현수,배우자,김도율,자녀,조준호,자녀
820614-6685160,박하연,본인,정예진,배우자,임정빈,자녀,,
591017-7773793,박현연,본인,임정혁,배우자,박현빈,자녀,,
920606-8641437,정영빈,본인,박예윤,배우자,윤준빈,자녀,,
970406-8787659,한서연,본인,이준율,배우자,,,,
930713-6054002,강서아,본인,박예빈,배우자,최서빈,자녀,,
741125-2706014,윤영연,본인,,,,,,
740608-6812184,송서아,본인,이하진,배우자,,,,
691220-0051785,최도윤,본인,,,,,,
760322-4359043,김하윤,본인,임정진,배우자,장서영,자녀,정하수,자녀
550215-3904476,김도수,본인,이윤진,배우자,,,,
761109-9662355,한지현,본인,조윤호,배우자,,,,
580721-3731289,정지영,본인,최서율,배우자,,,,
990115-4618761,김지현,본인,정정윤,배우자,,,,
760201-3650883,최민진,본인,조정우,배우자,,,,
700428-8516468,송하아,본인,,,,,,
830905-8138690,김태민,본인,조정연,배우자,오정윤,자녀,,
531128-7670047,윤준현,본인,윤지빈,배우자,정정수,자녀,,
780113-1613160,한현윤,본인,최윤호,배우자,오현영,자녀,,
940519-9413149,송도수,본인,윤하수,배우자,,,,
540218-8513023,박민민,본인,조현연,배우자,박서윤,자녀,최정호,자녀
651227-8749999,한지수,본인,장서혁,배우자,이윤빈,자녀,,
990801-6545079,박준영,본인,장지진,배우자,,,,
960113-5459363,박태진,본인,오윤율,배우자,,,,
951228-7560877,김민윤,본인,윤지진,배우자,,,,
900517-2136181,김지윤,본인,,,,,,
780718-3993930,윤민윤,본인,김지혁,배우자,윤정진,자녀,임정우,자녀
820405-1762627,임태윤,본인,조민수,배우자,오정호,자녀,,
821027-3646364,김민우,본인,임정수,배우자,장지수,자녀,,
720428-9072719,정서수,본인,윤도율,배우자,이하율,자녀,,
600508-2613085,박현우,본인,정예수,배우자,,,,
861217-3721220,한하진,본인,,,,,,
631126-3757594,한하아,본인,이준수,배우자,박윤연,자녀,장서우,자녀
500923-3947846,윤지영,본인,박민빈,배우자,이민빈,자녀,박예수,자녀
661107-7678439,정민우,본인,박준우,배우자,,,,
690716-8616079,정현민,본인,,,,,,
570717-5194278,윤예우,본인,,,,,,
881117-5669224,최하빈,본인,최도진,배우자,,,,
710103-7685660,이하윤,본인,정정윤,배우자,장예영,자녀,조민진,자녀
980610-3194637,최영수,본인,장서수,배우자,,,,
790616-8424750,정하영,본인,조서빈,배우자,정정진,자녀,박현연,자녀
790622-5948088,김태빈,본인,김하우,배우자,장윤진,자녀,,
970212-7012215,이지윤,본인,이도영,배우자,,,,
680305-5826649,정예수,본인,정서빈,배우자,이정호,자녀,,
540623-7728414,김태연,본인,박준수,배우자,최도혁,자녀,,
860902-7854240,송예진,본인,정지율,배우자,,,,
840107-0556852,임예연,본인,장민윤,배우자,,,,
790628-4810604,박서진,본인,조민빈,배우자,,,,
930925-1994437,윤현민,본인,박지호,배우자,임정진,자녀,김도영,자녀
880619-0829548,윤하수,본인,윤민빈,배우자,,,,
570516-1936418,최도영,본인,,,,,,
881025-2255263,송영영,본인,,,,,,
590317-8739290,강도윤,본인,임하혁,배우자,,,,
510110-5588068,최민민,본인,윤정진,배우자,박윤영,자녀,,
881127-8168574,박도진,본인,,,,,,
540424-4915046,강현진,본인,오서수,배우자,,,,
980416-2543558,최태연,본인,이도우,배우자,박도진,자녀,박서진,자녀
720116-8093919,김도현,본인,장지율,배우자,박준우,자녀,,
870923-7901898,박예수,본인,장현수,배우자,,,,
760418-3093198,박하우,본인,이준우,배우자,정예영,자녀,,
770907-8583579,이현민,본인,정준연,배우자,장현율,자녀,이준연,자녀
760602-4019330,박서영,본인,,,,,,
960710-6793593,윤현민,본인,임민율,배우자,박윤호,자녀,,
710516-9716390,강영연,본인,이서빈,배우자,윤서혁,자녀,,
770221-6725302,정하영,본인,장윤윤,배우자,박하영,자녀,장서연,자녀
570706-4777125,임예연,본인,,,,,,
570411-5435888,정영연,본인,최하연,배우자,조지혁,자녀,,
690125-6572337,정준수,본인,윤하윤,배우자,,,,
861212-2402101,윤하빈,본인,윤민호,배우자,정민혁,자녀,최도진,자녀
880614-3602189,이서진,본인,이정윤,배우자,,,,
691122-6418258,이준아,본인,장윤수,배우자,조준영,자녀,윤서우,자녀
710707-4900537,윤영연,본인,임정빈,배우자,,,,
710611-0909852,최영아,본인,조현혁,배우자,,,,
770217-3620951,한현영,본인,정준윤,배우자,오도호,자녀,,
860102-4095778,최현빈,본인,이예호,배우자,,,,
581216-6134486,송태아,본인,이지수,배우자,장민수,자녀,임예우,자녀
600715-3690251,윤태민,본인,이정호,배우자,,,,
840726-6398722,한도윤,본인,윤민수,배우자,이윤영,자녀,,
990610-0284733,강준윤,본인,윤윤연,배우자,김지빈,자녀,장도호,자녀
651210-2311139,정지민,본인,,,,,,
750425-3530983,정예우,본인,박도혁,배우자,,,,
661101-1299504,최도수,본인,박하호,배우자,,,,
850320-6097311,윤민영,본인,이민윤,배우자,이지빈,자녀,장예진,자녀
810121-1837824,김예빈,본인,오하빈,배우자,조서혁,자녀,,
760125-1324946,임민빈,본인,이지연,배우자,,,,
831209-7015839,한도현,본인,윤민우,배우자,임도수,자녀,조하호,자녀
810216-9088632,박준영,본인,이윤진,배우자,장윤율,자녀,,
530312-8384832,송태연,본인,장준수,배우자,장현혁,자녀,김민진,자녀
520520-3906425,윤도우,본인,,,,,,
760319-6145526,박예우,본인,장현진,배우자,김지윤,자녀,임윤영,자녀
611227-8647166,박서윤,본인,오민진,배우자,박하영,자녀,,
651026-7086685,송지빈,본인,이정율,배우자,,,,
670320-5826863,강예현,본인,,,,,,
641216-3094148,이현아,본인,임현혁,배우자,장민율,자녀,,
660517-3717299,정준영,본인,박정연,배우자,,,,
630409-3913572,임준빈,본인,,,,,,
730104-9210475,강태아,본인,오준수,배우자,조하빈,자녀,조예진,자녀
510907-3553163,한예현,본인,임준연,배우자,정현우,자녀,윤서율,자녀
680227-3709145,임지현,본인,오현연,배우자,박준연,자녀,최준영,자녀
641121-8234490,송하윤,본인,,,,,,
941018-7479698,강태아,본인,,,,,,
910718-0786960,김지진,본인,이하빈,배우자,장도수,자녀,,
950613-7064413,한민진,본인,장지우,배우자,김정윤,자녀,,
890119-7157024,임도연,본인,,,,,,
830612-1297490,윤하아,본인,오윤연,배우자,김민윤,자녀,,
680317-3991257,윤준윤,본인,오지우,배우자,정예빈,자녀,,
871205-5882317,송준아,본인,최도윤,배우자,정정윤,자녀,김준진,자녀
670520-3080739,최현연,본인,이민진,배우자,조정영,자녀,,
590126-2458314,김영영,본인,,,,,,
830122-2405708,임태윤,본인,,,,,,
740714-3433877,박서빈,본인,김지호,배우자,,,,
890824-9965123,최현현,본인,박서빈,배우자,조예수,자녀,,
831016-2035439,송영영,본인,최준진,배우자,임하영,자녀,,
780327-9113574,최예영,본인,,,,,,
531125-3490323,임서민,본인,윤하윤,배우자,장도우,자녀,,
610720-9206452,김도진,본인,최준수,배우자,,,,
690519-0910062,이민아,본인,정도율,배우자,,,,
900326-0683222,최예우,본인,오서윤,배우자,,,,
980525-9671094,정영현,본인,정준빈,배우자,오준혁,자녀,윤도영,자녀
990102-0452333,강현빈,본인,임윤우,배우자,장준진,자녀,조정윤,자녀
840718-7807594,강지민,본인,임서윤,배우자,장지혁,자녀,임윤빈,자녀
521117-2529505,김예수,본인,김예호,배우자,정도혁,자녀,,
650119-6210089,정도영,본인,박민연,배우자,,,,
600423-0044400,정지수,본인,박준우,배우자,장정진,자녀,임도율,자녀
771005-0188649,임하윤,본인,윤예윤,배우자,,,,
790218-5899636,김하현,본인,이하빈,배우자,박지수,자녀,,
951003-5068916,송지윤,본인,정지수,배우자,,,,
981005-8796997,송서영,본인,장현우,배우자,최정연,자녀,오준윤,자녀
940602-8059502,임도진,본인,윤준우,배우자,,,,
940603-4399219,한지수,본인,,,,,,
941115-1870131,강현빈,본인,,,,,,
561004-4319123,윤현영,본인,,,,,,
760210-9276710,이도윤,본인,,,,,,
981124-6861552,강현영,본인,장현진,배우자,조민영,자녀,이윤빈,자녀
960126-3242781,임예영,본인,윤지혁,배우자,,,,
710621-3341694,한지우,본인,박예빈,배우자,임준빈,자녀,,
840912-3048910,이도영,본인,장지진,배우자,최하수,자녀,,
981110-4499658,박예연,본인,,,,,,
880719-5805611,이준수,본인,정서영,배우자,윤준윤,자녀,,
600906-3179827,한하현,본인,임정연,배우자,장윤연,자녀,,
690710-6452555,김영수,본인,장현빈,배우자,,,,
810403-2194357,한현연,본인,,,,,,
810807-7556042,윤서아,본인,박도진,배우자,,,,
980813-0453804,윤태우,본인,김서수,배우자,최예수,자녀,오현우,자녀
671228-6846349,송예윤,본인,정정수,배우자,조예혁,자녀,,
810102-0849820,박준우,본인,,,,,,
530526-6020222,임도현,본인,,,,,,
770101-4110713,윤하수,본인,장도혁,배우자,장민우,자녀,,
870827-3794859,박하진,본인,장윤호,배우자,최예수,자녀,,
570907-0813013,박예진,본인,이서혁,배우자,최준호,자녀,,
981113-5757377,한하빈,본인,,,,,,
620224-4993729,강민아,본인,최정수,배우자,임현율,자녀,오현수,자녀
561120-7118175,윤준연,본인,,,,,,
701223-5431824,이준아,본인,장준윤,배우자,윤서진,자녀,,
780315-0454624,최현연,본인,오예진,배우자,,,,
710617-3873692,박현현,본인,윤윤영,배우자,임하수,자녀,임하호,자녀
560511-8639073,정영수,본인,정준윤,배우자,최예영,자녀,장서영,자녀
540725-7022399,최도영,본인,김정영,배우자,박민호,자녀,,
800908-7058388,이지수,본인,조도수,배우자,오현연,자녀,,
570308-0293046,박하빈,본인,,,,,,
790628-7187731,윤준수,본인,최지빈,배우자,조민진,자녀,,
830913-8560250,송서현,본인,장도빈,배우자,,,,
950515-1236296,박예윤,본인,윤준율,배우자,임지율,자녀,,
891101-4549961,강민진,본인,장민율,배우자,오하수,자녀,,
510301-8697350,한서연,본인,,,,,,
780225-3825051,이지우,본인,최도율,배우자,박도진,자녀,,
880120-7078049,이민빈,본인,,,,,,
790503-1526901,정도진,본인,최준우,배우자,조준영,자녀,,
960427-8031466,한서진,본인,김현영,배우자,정현영,자녀,윤하호,자녀
920414-5066511,강민윤,본인,윤지우,배우자,,,,
870711-9659552,김지빈,본인,이민수,배우자,,,,
840114-2914489,한예진,본인,오도율,배우자,최윤호,자녀,,
571124-4929394,송도영,본인,임준혁,배우자,,,,
850615-5753989,최지진,본인,오하수,배우자,윤지연,자녀,,
761218-7710679,윤지연,본인,윤예영,배우자,장도수,자녀,,
630814-2219837,임영영,본인,,,,,,
501017-4934370,이영윤,본인,,,,,,
631120-7859690,최영아,본인,정민영,배우자,윤지율,자녀,조도우,자녀
860907-0922028,정태영,본인,조서호,배우자,박지영,자녀,최현빈,자녀
901025-0899311,이예민,본인,정준진,배우자,임지호,자녀,,
511124-8739207,박서빈,본인,정지빈,배우자,박지우,자녀,,
681223-9232608,최예수,본인,,,,,,
971128-0132404,임서우,본인,조정호,배우자,오정혁,자녀,최민율,자녀
581110-5753443,윤태민,본인,박준우,배우자,,,,
820403-7265308,이영아,본인,,,,,,
680620-2656029,최지윤,본인,박현호,배우자,김현율,자녀,정지수,자녀
850628-5005596,정도윤,본인,이준진,배우자,김지수,자녀,,
960224-7778343,김태윤,본인,오준혁,배우자,,,,
850224-3665695,정현우,본인,김지우,배우자,,,,
840810-0683276,임민아,본인,최정연,배우자,,,,
500426-5316577,정영연,본인,박윤우,배우자,,,,
921201-8771408,송민아,본인,,,,,,
661216-1820389,정예민,본인,오민진,배우자,,,,
540820-9876163,임도민,본인,임윤수,배우자,장윤연,자녀,,
700616-1995121,김도진,본인,김윤영,배우자,최준혁,자녀,,
801223-3546632,정영연,본인,장현호,배우자,,,,
610617-2637300,최영윤,본인,장하율,배우자,박정수,자녀,,
580704-8584650,강민빈,본인,,,,,,
660701-5091181,윤민연,본인,조정빈,배우자,,,,
810211-1335277,강예수,본인,,,,,,
700410-9571006,임지진,본인,박민빈,배우자,김도우,자녀,,
611006-4942305,송예민,본인,,,,,,
510707-4252555,이하윤,본인,,,,,,
750218-2129245,송지우,본인,조지윤,배우자,정현호,자녀,조예영,자녀
750825-6901229,임하영,본인,조정호,배우자,정민연,자녀,오서혁,자녀
780914-0884249,송현진,본인,최현우,배우자,이서혁,자녀,오정영,자녀
981008-1816761,임준민,본인,,,,,,
700827-1046787,박서빈,본인,윤하영,배우자,임도우,자녀,,
960610-7034944,이도연,본인,최서윤,배우자,,,,
840319-1603466,송도수,본인,윤준빈,배우자,,,,
780425-3081576,이현진,본인,조정호,배우자,,,,
641104-7697380,최예윤,본인,,,,,,
521117-3139803,정준우,본인,박준윤,배우자,,,,
950505-0502765,최하수,본인,이지연,배우자,이하율,자녀,윤서윤,자녀
520817-2163493,김예현,본인,윤예영,배우자,,,,
770322-2581221,이태영,본인,,,,,,
900909-3349759,임도우,본인,,,,,,
550615-5772039,송현윤,본인,,,,,,
860724-0606227,임도빈,본인,,,,,,
770702-3785144,윤영윤,본인,,,,,,
550812-4421562,한하윤,본인,,,,,,
950612-5339617,임준빈,본인,박준연,배우자,최예율,자녀,,
690219-8342480,윤지수,본인,,,,,,
910112-7564535,강태진,본인,,,,,,
540302-9104042,강태우,본인,장민우,배우자,김지수,자녀,,
681220-6126256,정도윤,본인,장지혁,배우자,장예영,자녀,,
851108-3325980,이태우,본인,,,,,,
570513-6651011,임영연,본인,,,,,,
780603-3199499,강예현,본인,임도진,배우자,,,,
760424-7491245,이서아,본인,임하율,배우자,,,,
570724-8788938,이준윤,본인,윤도영,배우자,,,,
670303-7597358,박태수,본인,이현우,배우자,장정연,자녀,,
730405-7181098,한하영,본인,박정영,배우자,정지진,자녀,,
760509-6282404,강하영,본인,오윤혁,배우자,,,,
910721-0546327,정준진,본인,오지수,배우자,,,,
920927-9826546,정태영,본인,최서혁,배우자,정지빈,자녀,,
600712-0414510,이하빈,본인,이윤혁,배우자,장서진,자녀,이도빈,자녀
800425-4895102,김태우,본인,장예윤,배우자,조민윤,자녀,오도우,자녀
741203-8444842,강지수,본인,정예율,배우자,김예수,자녀,,
860903-6655916,이현민,본인,이예율,배우자,,,,
500619-4055078,최서윤,본인,김준혁,배우자,장정호,자녀,박도율,자녀
740324-3062685,임하윤,본인,정현영,배우자,장서진,자녀,,
810625-0905206,박예수,본인,정현수,배우자,,,,
610714-5772924,임준윤,본인,박정혁,배우자,,,,
941014-7578328,임도민,본인,장도혁,배우자,정서영,자녀,,
580226-7323182,박서수,본인,이예진,배우자,장민윤,자녀,,
890713-0611803,임하우,본인,윤준수,배우자,조현윤,자녀,최하호,자녀
540824-6378824,이하현,본인,,,,,,
671018-4498434,이도우,본인,임도율,배우자,정준빈,자녀,장도호,자녀
870918-5359497,정민영,본인,,,,,,
570611-9267644,김예현,본인,조예윤,배우자,,,,
970908-3005504,최태영,본인,임지진,배우자,박윤율,자녀,김하빈,자녀
930704-1101829,정서아,본인,,,,,,
541017-9987808,강준아,본인,조예율,배우자,,,,
970406-9430524,송도현,본인,,,,,,
761012-9155768,최도연,본인,윤도우,배우자,오하진,자녀,이윤빈,자녀
740311-1181600,김영영,본인,,,,,,
841201-5364540,강도현,본인,박윤영,배우자,김현영,자녀,,
761120-3280920,한준빈,본인,,,,,,
500615-5691316,임준수,본인,윤지혁,배우자,윤예연,자녀,,
910222-5905431,강하수,본인,윤윤빈,배우자,이예영,자녀,최예빈,자녀
570215-5563835,박서영,본인,오예호,배우자,,,,
630510-0314193,한준현,본인,임서우,배우자,조정빈,자녀,장서율,자녀
761122-2764061,박도진,본인,김윤윤,배우자,조예진,자녀,,
800527-8464862,한영아,본인,오예율,배우자,,,,
780203-9150458,강하진,본인,임서윤,배우자,윤하우,자녀,,
770920-7970380,윤예빈,본인,최지수,배우자,장하영,자녀,,
740117-7256827,한현현,본인,,,,,,
590401-1150622,이하빈,본인,,,,,,
981026-9399519,이하연,본인,최정연,배우자,,,,
510217-1752690,최현현,본인,,,,,,
731014-6327433,송민영,본인,,,,,,
871112-7969873,송민연,본인,윤정혁,배우자,박정호,자녀,,
871023-0244383,임도연,본인,임준연,배우자,임정진,자녀,윤도호,자녀
710407-7455795,윤하우,본인,오윤율,배우자,오민윤,자녀,,
591212-4590848,한서진,본인,,,,,,
730116-6193211,임도현,본인,김정빈,배우자,최준혁,자녀,,
600905-4846777,한현빈,본인,,,,,,
921001-8881757,정예현,본인,김예수,배우자,최준혁,자녀,,
500305-3224548,임영윤,본인,정현율,배우자,최서우,자녀,조지빈,자녀
960421-4216923,이민연,본인,장준연,배우자,김현연,자녀,,
920601-9773099,박민아,본인,오지우,배우자,,,,
690214-9391541,송하진,본인,이지진,배우자,임현진,자녀,,
521224-1755839,김하영,본인,,,,,,
860317-3043517,강서수,본인,윤서영,배우자,,,,
801203-0628155,송하영,본인,정하우,배우자,임하연,자녀,정예수,자녀
530324-0355434,정태아,본인,윤지빈,배우자,김현율,자녀,장윤수,자녀
601222-9650683,박도빈,본인,오서수,배우자,,,,
610924-7921931,한태진,본인,정윤빈,배우자,윤도우,자녀,최예호,자녀
690720-2104954,정준아,본인,장정수,배우자,장서윤,자녀,,
881227-3653882,강서연,본인,장민율,배우자,,,,
520125-5533580,이하윤,본인,,,,,,
660808-2553346,김현윤,본인,윤도영,배우자,김민연,자녀,오준영,자녀
960525-8409568,이도영,본인,박하율,배우자,임예혁,자녀,,
550909-7910008,이서연,본인,조준빈,배우자,박윤연,자녀,정예율,자녀
781019-5199108,최영영,본인,정민우,배우자,,,,
520611-5142835,임현민,본인,임하윤,배우자,정서율,자녀,이도율,자녀
800616-2489011,송하연,본인,조하영,배우자,,,,
680908-5516914,정예윤,본인,,,,,,
660818-6758858,한서아,본인,이민율,배우자,이예진,자녀,,
610219-4040713,송태현,본인,박윤율,배우자,,,,
670109-9736558,박지수,본인,,,,,,
880911-5634112,강민우,본인,장준수,배우자,윤민연,자녀,,
760515-8178250,최민빈,본인,장예윤,배우자,이도윤,자녀,조예연,자녀
760910-1534036,이영연,본인,이도윤,배우자,윤하윤,자녀,,
631101-8792527,정영진,본인,박정영,배우자,김정혁,자녀,이서혁,자녀
830112-5540254,송영빈,본인,박지연,배우자,윤윤수,자녀,오정율,자녀
891012-0060186,강준민,본인,정예윤,배우자,조하영,자녀,장지연,자녀
740610-4338531,김준윤,본인,정도율,배우자,이도연,자녀,,
970407-6381119,박도윤,본인,정윤혁,배우자,,,,
671007-0995483,강도우,본인,정하율,배우자,,,,
820111-5230808,강하진,본인,,,,,,
731106-9157051,임민현,본인,,,,,,
690711-1424461,박하빈,본인,장도빈,배우자,최지진,자녀,김윤호,자녀
610315-0364192,송서빈,본인,,,,,,
790814-3937312,최태윤,본인,,,,,,
810415-5070896,윤민수,본인,윤윤수,배우자,김예연,자녀,,
970412-8087569,이도수,본인,임윤수,배우자,장지윤,자녀,,
930103-7394162,한하영,본인,최예율,배우자,정윤진,자녀,이민수,자녀
570622-2281095,강하아,본인,,,,,,
560809-2827503,윤도현,본인,오서윤,배우자,조지우,자녀,최민빈,자녀
740514-9813102,윤서진,본인,,,,,,
500420-4099440,한예우,본인,이현영,배우자,정지영,자녀,정도진,자녀
900227-8164383,박준윤,본인,이예영,배우자,,,,
871017-9573699,한도영,본인,박윤우,배우자,임예율,자녀,,
580826-6255958,최민아,본인,윤정진,배우자,,,,
740525-9777855,이지민,본인,정준우,배우자,,,,
791109-5854364,임도연,본인,정예연,배우자,윤도율,자녀,,
900924-7028094,김현영,본인,조서연,배우자,박윤호,자녀,윤정윤,자녀
660713-3666361,김준민,본인,임지진,배우자,김정빈,자녀,윤서수,자녀
511011-3667774,송지연,본인,윤지율,배우자,오윤율,자녀,정지연,자녀
630227-5991788,이서아,본인,,,,,,
510215-0290065,정민현,본인,오준빈,배우자,윤예호,자녀,,
500204-6805386,임준아,본인,오윤윤,배우자,오윤수,자녀,오현우,자녀
730701-5710203,송민빈,본인,임예윤,배우자,,,,
651014-6673491,강현아,본인,정준진,배우자,조지혁,자녀,,
800915-8945903,한현민,본인,,,,,,
531009-8408584,윤서영,본인,,,,,,
851002-5027320,이하현,본인,이서윤,배우자,,,,
590904-8271347,임도윤,본인,이예영,배우자,,,,
571114-4199366,한태우,본인,장하윤,배우자,장현우,자녀,,
710404-4823111,최민연,본인,윤지혁,배우자,최민혁,자녀,,
610820-3399695,송태윤,본인,정지진,배우자,정준영,자녀,,
530918-5617945,최도아,본인,정도진,배우자,임서윤,자녀,정도윤,자녀
561008-9419272,윤현연,본인,이민우,배우자,,,,
990809-3053910,임예영,본인,이지영,배우자,정예율,자녀,임서빈,자녀
690106-7091351,박예민,본인,윤예율,배우자,윤지율,자녀,박하윤,자녀
660705-3712298,윤도민,본인,김현수,배우자,,,,
661103-8054411,한준우,본인,박정영,배우자,,,,
990106-6857481,김도연,본인,장도연,배우자,이예영,자녀,,
910903-6091251,윤영현,본인,김하혁,배우자,장윤영,자녀,,
511128-6242307,김준아,본인,장하호,배우자,,,,
560407-8709422,윤지윤,본인,임예진,배우자,,,,
860801-0065240,임현아,본인,박윤우,배우자,정서혁,자녀,,
630927-1370566,윤서민,본인,,,,,,
930710-9615809,윤지우,본인,이준연,배우자,윤현빈,자녀,조도율,자녀
930504-7084148,임영연,본인,정도혁,배우자,,,,
500427-0473928,김도연,본인,장하연,배우자,박지수,자녀,,
700817-4337691,송태수,본인,김현빈,배우자,,,,
690526-1437828,박민아,본인,,,,,,
931202-6587015,윤준윤,본인,정예혁,배우자,이서혁,자녀,최민수,자녀
801003-6176345,강도연,본인,윤민영,배우자,,,,
520424-5336183,윤지빈,본인,조하우,배우자,오도율,자녀,윤하수,자녀
960613-2106703,한태민,본인,최예윤,배우자,정정혁,자녀,,
530910-5001310,윤지민,본인,,,,,,
650303-4666380,윤현연,본인,윤하율,배우자,,,,
810728-2535434,정예우,본인,박민윤,배우자,최준영,자녀,박지빈,자녀
870302-9272518,임도현,본인,윤하호,배우자,,,,
501117-1597652,윤하영,본인,최현빈,배우자,박윤연,자녀,,
930615-7684990,박태우,본인,정서혁,배우자,윤민빈,자녀,,
980226-7446016,강태아,본인,,,,,,
990723-3269219,윤예민,본인,,,,,,
550927-3786739,한예진,본인,,,,,,
970226-3675682,박서민,본인,정지호,배우자,,,,
890723-4538200,이도우,본인,장윤연,배우자,정하윤,자녀,장하진,자녀
940505-2656188,김예우,본인,이도진,배우자,이예연,자녀,,
931102-9426584,임지민,본인,박윤연,배우자,최도진,자녀,,
801003-6629547,박서영,본인,박현율,배우자,오준혁,자녀,정서율,자녀
951122-7605473,최서아,본인,임현윤,배우자,장윤혁,자녀,,
520107-1612930,강서영,본인,,,,,,
610202-6461534,최서빈,본인,김현혁,배우자,윤예수,자녀,이하진,자녀
810722-3793302,최지윤,본인,,,,,,
950805-8553115,강영민,본인,,,,,,
580718-1386187,박준윤,본인,김민진,배우자,정정수,자녀,윤현진,자녀
670819-2163479,강태영,본인,장민혁,배우자,정윤빈,자녀,,
960814-0441022,강서아,본인,,,,,,
540412-1050292,박서우,본인,,,,,,
950423-6223445,임민수,본인,,,,,,
530702-8646791,윤하현,본인,이예영,배우자,장하영,자녀,,
530309-6681586,송지수,본인,조예빈,배우자,정도호,자녀,,
740626-7785720,박현진,본인,박윤빈,배우자,,,,
910716-6667945,강지민,본인,,,,,,
820327-4559452,윤민현,본인,박예연,배우자,,,,
661120-6906901,이현우,본인,오민혁,배우자,임도연,자녀,장정율,자녀
580218-9970252,박현연,본인,장정진,배우자,임도진,자녀,,
711227-1963606,김지현,본인,장윤혁,배우자,최현우,자녀,,
780214-0594915,한민아,본인,박예율,배우자,조도윤,자녀,,
521204-3235547,임태진,본인,,,,,,
820202-1389830,강하아,본인,,,,,,
830328-5085384,김도수,본인,이현율,배우자,,,,
730901-8833691,송영아,본인,,,,,,
500912-2593377,최영진,본인,장현수,배우자,,,,
710727-0217430,임도진,본인,장도연,배우자,임예빈,자녀,김예진,자녀
901007-7458961,최현수,본인,이정빈,배우자,김윤빈,자녀,조현우,자녀
610827-5205381,강예아,본인,,,,,,
970219-5807779,강영빈,본인,임예윤,배우자,박윤진,자녀,박도연,자녀
770928-2974914,임태아,본인,박예연,배우자,임준진,자녀,,
990203-9597977,임지윤,본인,박현빈,배우자,최예율,자녀,임예수,자녀
551022-2153146,강서연,본인,,,,,,
671105-9914882,최현현,본인,최서율,배우자,오예호,자녀,장현진,자녀
740209-9098807,이영아,본인,,,,,,
700102-5364559,김준윤,본인,임현영,배우자,장정율,자녀,,
660607-8189063,박태윤,본인,임하혁,배우자,정민수,자녀,,
690328-2376454,송지영,본인,이지우,배우자,조도혁,자녀,,
960404-4509817,박도민,본인,박서우,배우자,임하진,자녀,,
931020-4775571,박예빈,본인,,,,,,
530921-9252702,최준민,본인,정윤수,배우자,,,,
530221-6437241,임민아,본인,조지수,배우자,,,,
870111-7911670,임서현,본인,오서윤,배우자,,,,
911111-8399438,이하수,본인,조현율,배우자,조도윤,자녀,,
630604-9748931,송예아,본인,,,,,,
850209-3158369,박현영,본인,조준우,배우자,박서빈,자녀,,
530523-8861381,박현윤,본인,윤도진,배우자,,,,
760507-8360551,강태아,본인,,,,,,
870710-4965244,윤민빈,본인,김예혁,배우자,,,,
521223-5429146,최하연,본인,최서윤,배우자,,,,
630409-1372463,윤민민,본인,임준수,배우자,,,,
811203-0058942,송서우,본인,김윤윤,배우자,,,,
581109-9196182,임영진,본인,,,,,,
810523-3870579,김하민,본인,박도연,배우자,오윤우,자녀,,
650427-3444654,박예연,본인,임준혁,배우자,최정빈,자녀,김하수,자녀
980924-0599213,이지아,본인,김서연,배우자,임민혁,자녀,,
510505-8449711,임예수,본인,김현영,배우자,이하혁,자녀,,
680216-3303778,강서빈,본인,윤준수,배우자,임정우,자녀,윤도호,자녀
990303-3646599,한서윤,본인,윤서우,배우자,임서호,자녀,,
560827-1154896,박현민,본인,정서진,배우자,정서연,자녀,최하혁,자녀
620421-9987471,한영현,본인,임하빈,배우자,임민호,자녀,박예호,자녀
700325-5422206,강태영,본인,,,,,,
960815-4888588,한도민,본인,최도율,배우자,박윤율,자녀,정현진,자녀
990517-3820684,임하현,본인,오정빈,배우자,,,,
590425-3794145,윤서영,본인,박예영,배우자,윤서연,자녀,장민혁,자녀
520112-1552604,이현연,본인,정서영,배우자,,,,
